limiar,vp,vn,fp,fn,acuracia,precisao,recall,f1,conjunto,modo,versao
0.53,1914,13673,1188,25,0.927797619047619,0.6170212765957447,0.9871067560598247,0.7593731402499504,treino,rotulado,v1
0.54,1906,13735,1126,33,0.9310119047619048,0.6286279683377308,0.9829809179989686,0.7668477167571918,treino,rotulado,v1
0.55,1894,13803,1058,45,0.9343452380952381,0.6415989159891599,0.9767921609076844,0.7744837456552852,treino,rotulado,v1
0.56,1881,13856,1005,58,0.9367261904761904,0.6517671517671517,0.9700876740587931,0.7796891191709845,treino,rotulado,v1
0.5700000000000001,1874,13923,938,65,0.940297619047619,0.666429587482219,0.9664775657555441,0.7888865501999579,treino,rotulado,v1
0.58,1864,13986,875,75,0.9434523809523809,0.6805403431909456,0.9613202681794739,0.7969217614365113,treino,rotulado,v1
0.59,1858,14044,817,81,0.9465476190476191,0.6945794392523365,0.9582258896338318,0.8053749458170785,treino,rotulado,v1
0.6,1853,14100,761,86,0.9495833333333333,0.708875286916603,0.9556472408457968,0.8139688117724577,treino,rotulado,v1
0.61,1835,14143,718,104,0.9510714285714286,0.7187622405013709,0.9463641052088706,0.8170080142475512,treino,rotulado,v1
0.62,1822,14195,666,117,0.9533928571428572,0.7323151125401929,0.9396596183599794,0.8231307883442512,treino,rotulado,v1
0.63,1814,14240,621,125,0.955595238095238,0.7449691991786448,0.9355337802991233,0.8294467306812986,treino,rotulado,v1
0.64,1802,14291,570,137,0.9579166666666666,0.7596964586846543,0.9293450232078391,0.8360009278589654,treino,rotulado,v1
0.65,1784,14340,521,155,0.9597619047619048,0.7739696312364425,0.9200618875709129,0.8407163053722903,treino,rotulado,v1
0.66,1767,14371,490,172,0.9605952380952381,0.7828976517501107,0.9112944816915935,0.842230695900858,treino,rotulado,v1
0.67,1750,14399,462,189,0.96125,0.7911392405063291,0.9025270758122743,0.8431703204047217,treino,rotulado,v1
0.68,1736,14423,438,203,0.9618452380952381,0.7985280588776449,0.8953068592057761,0.8441526866034524,treino,rotulado,v1
0.6900000000000001,1722,14448,413,217,0.9625,0.8065573770491803,0.8880866425992779,0.845360824742268,treino,rotulado,v1
0.7000000000000001,1702,14489,372,237,0.96375,0.8206364513018322,0.8777720474471377,0.8482432095689011,treino,rotulado,v1
0.71,1676,14527,334,263,0.9644642857142857,0.8338308457711443,0.8643630737493554,0.8488224867054951,treino,rotulado,v1
0.72,1650,14558,303,289,0.9647619047619047,0.8448540706605223,0.850954100051573,0.8478931140801644,treino,rotulado,v1
0.73,1623,14596,265,316,0.9654166666666667,0.8596398305084746,0.8370293965961836,0.8481839561013849,treino,rotulado,v1
0.74,1596,14627,234,343,0.965654761904762,0.8721311475409836,0.8231046931407943,0.8469089944282303,treino,rotulado,v1
0.75,1559,14645,216,380,0.9645238095238096,0.8783098591549295,0.8040226921093347,0.8395261173936457,treino,rotulado,v1
0.76,1534,14674,187,405,0.9647619047619047,0.8913422428820453,0.7911294481691593,0.8382513661202186,treino,rotulado,v1
0.77,1511,14683,178,428,0.9639285714285715,0.8946121965660154,0.7792676637441981,0.8329658213891952,treino,rotulado,v1
0.78,1496,14703,158,443,0.9642261904761905,0.9044740024183797,0.7715317173800929,0.8327303089340384,treino,rotulado,v1
0.79,1477,14719,142,462,0.964047619047619,0.9122915379864114,0.7617328519855595,0.8302417088251827,treino,rotulado,v1
0.8,1444,14741,120,495,0.9633928571428572,0.9232736572890026,0.7447137699845281,0.8244361975449614,treino,rotulado,v1
0.81,1398,14762,99,541,0.9619047619047619,0.9338677354709419,0.7209902011346054,0.8137369033760187,treino,rotulado,v1
0.8200000000000001,1361,14782,79,578,0.9608928571428571,0.9451388888888889,0.7019082001031459,0.8055637762651672,treino,rotulado,v1
0.8300000000000001,1314,14803,58,625,0.9593452380952381,0.9577259475218659,0.6776689014956163,0.7937179099969798,treino,rotulado,v1
0.84,1273,14812,49,666,0.9574404761904762,0.9629349470499243,0.6565239814337287,0.7807421036491874,treino,rotulado,v1
0.85,1237,14820,41,702,0.9557738095238095,0.9679186228482003,0.6379577101598762,0.7690394777743239,treino,rotulado,v1
0.86,1205,14830,31,734,0.9544642857142858,0.9749190938511327,0.6214543579164518,0.7590551181102362,treino,rotulado,v1
0.87,1155,14838,23,784,0.9519642857142857,0.9804753820033956,0.5956678700361011,0.7410972088546679,treino,rotulado,v1
0.88,1096,14846,15,843,0.9489285714285715,0.9864986498649865,0.5652398143372873,0.718688524590164,treino,rotulado,v1
0.89,1027,14855,6,912,0.9453571428571429,0.9941916747337851,0.5296544610624033,0.6911170928667564,treino,rotulado,v1
0.9,958,14857,4,981,0.9413690476190476,0.9958419958419958,0.49406910778751933,0.660461909686315,treino,rotulado,v1
0.91,832,14858,3,1107,0.9339285714285714,0.9964071856287425,0.4290871583290356,0.5998558038932948,treino,rotulado,v1
0.92,728,14859,2,1211,0.927797619047619,0.9972602739726028,0.37545126353790614,0.5455226676657924,treino,rotulado,v1
0.93,636,14860,1,1303,0.9223809523809524,0.9984301412872841,0.3280041258380609,0.4937888198757764,treino,rotulado,v1
0.9400000000000001,522,14861,0,1417,0.9156547619047619,1.0,0.2692109334708613,0.4242177976432345,treino,rotulado,v1
0.9500000000000001,412,14861,0,1527,0.9091071428571429,1.0,0.21248066013408973,0.35048915355168014,treino,rotulado,v1
